deviceId,x,y,z,recordTime
1,16,40,984,2024-08-16T07:58:55.992Z
1,19,43,978,2024-08-16T07:58:55.997Z
1,15,41,982,2024-08-16T07:58:55.999Z
1,14,42,982,2024-08-16T07:58:56.003Z
1,18,40,979,2024-08-16T07:58:55.996Z
1,17,40,977,2024-08-16T07:58:56.013Z
1,19,40,982,2024-08-16T07:58:56.023Z
1,16,37,978,2024-08-16T07:58:56.442Z
1,17,38,981,2024-08-16T07:58:56.447Z
1,18,38,978,2024-08-16T07:58:56.485Z
1,16,38,982,2024-08-16T07:58:56.488Z
1,15,37,977,2024-08-16T07:58:56.493Z
1,17,40,983,2024-08-16T07:58:56.497Z
1,18,40,976,2024-08-16T07:58:56.502Z
1,14,41,982,2024-08-16T07:58:56.513Z
1,16,41,980,2024-08-16T07:58:56.516Z
1,17,39,980,2024-08-16T07:58:56.531Z
1,16,39,983,2024-08-16T07:58:56.533Z
1,18,36,978,2024-08-16T07:58:56.534Z
1,20,38,981,2024-08-16T07:58:56.537Z
1,17,38,979,2024-08-16T07:58:56.546Z
1,17,41,981,2024-08-16T07:58:56.548Z
1,18,43,977,2024-08-16T07:58:56.549Z
1,19,42,978,2024-08-16T07:58:56.524Z
1,17,41,980,2024-08-16T07:58:56.550Z
1,16,42,981,2024-08-16T07:58:56.552Z
1,16,40,978,2024-08-16T07:58:56.553Z
1,18,39,982,2024-08-16T07:58:56.555Z
1,17,37,979,2024-08-16T07:58:56.557Z
1,16,36,979,2024-08-16T07:58:56.558Z
1,18,38,979,2024-08-16T07:58:56.560Z
1,20,38,980,2024-08-16T07:58:56.963Z
1,16,41,979,2024-08-16T07:58:56.970Z
1,18,42,979,2024-08-16T07:58:56.980Z
1,16,39,980,2024-08-16T07:58:56.982Z
1,18,40,979,2024-08-16T07:58:56.983Z
1,18,38,982,2024-08-16T07:58:56.985Z
1,17,38,980,2024-08-16T07:58:56.986Z
1,17,38,981,2024-08-16T07:58:56.988Z
1,16,40,978,2024-08-16T07:58:56.989Z
1,17,41,979,2024-08-16T07:58:56.991Z
1,18,42,980,2024-08-16T07:58:56.992Z
1,16,40,981,2024-08-16T07:58:56.994Z
1,18,42,981,2024-08-16T07:58:56.971Z
1,17,39,980,2024-08-16T07:58:56.997Z
1,18,38,981,2024-08-16T07:58:56.998Z
1,16,38,982,2024-08-16T07:58:57.008Z
1,16,39,980,2024-08-16T07:58:57.009Z
1,18,38,981,2024-08-16T07:58:57.011Z
1,19,40,977,2024-08-16T07:58:57.012Z
1,17,39,983,2024-08-16T07:58:57.014Z
1,16,40,978,2024-08-16T07:58:57.015Z
1,17,39,980,2024-08-16T07:58:57.016Z
1,17,41,981,2024-08-16T07:58:57.018Z
1,18,40,977,2024-08-16T07:58:57.020Z
1,17,38,979,2024-08-16T07:58:56.995Z
1,16,40,981,2024-08-16T07:58:57.022Z
1,17,41,979,2024-08-16T07:58:57.024Z
1,19,37,981,2024-08-16T07:58:57.025Z
1,18,38,979,2024-08-16T07:58:57.026Z
1,16,39,979,2024-08-16T07:58:57.034Z
1,15,40,979,2024-08-16T07:58:57.036Z
1,18,40,979,2024-08-16T07:58:57.037Z
1,17,41,981,2024-08-16T07:58:57.039Z
1,15,40,978,2024-08-16T07:58:57.040Z
1,17,39,980,2024-08-16T07:58:57.042Z
1,15,39,978,2024-08-16T07:58:57.043Z
1,17,39,981,2024-08-16T07:58:57.044Z
1,16,37,979,2024-08-16T07:58:57.046Z
1,17,40,978,2024-08-16T07:58:57.021Z
1,18,39,978,2024-08-16T07:58:57.048Z
1,18,40,979,2024-08-16T07:58:57.056Z
1,16,41,982,2024-08-16T07:58:57.057Z
1,17,39,979,2024-08-16T07:58:57.059Z
1,18,40,981,2024-08-16T07:58:57.060Z
1,17,40,981,2024-08-16T07:58:57.061Z
1,17,39,978,2024-08-16T07:58:57.063Z
1,19,40,981,2024-08-16T07:58:57.064Z
1,18,38,980,2024-08-16T07:58:57.065Z
1,16,39,979,2024-08-16T07:58:57.067Z
1,18,40,981,2024-08-16T07:58:57.069Z
1,17,39,980,2024-08-16T07:58:57.071Z
1,15,39,979,2024-08-16T07:58:57.072Z
1,14,38,981,2024-08-16T07:58:57.073Z
1,18,39,980,2024-08-16T07:58:57.047Z
1,15,40,979,2024-08-16T07:58:57.077Z
1,17,38,980,2024-08-16T07:58:57.078Z
1,17,38,980,2024-08-16T07:58:57.080Z
1,17,38,978,2024-08-16T07:58:57.088Z
1,16,40,980,2024-08-16T07:58:57.487Z
1,17,39,979,2024-08-16T07:58:57.494Z
1,16,39,980,2024-08-16T07:58:57.495Z
1,18,40,980,2024-08-16T07:58:57.497Z
1,17,41,982,2024-08-16T07:58:57.498Z
1,18,39,979,2024-08-16T07:58:57.500Z
